longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time,time_sin,time_cos
74.4,32,0.16193198,3.4116902,134.27097,380.46814,3.8281665,29.613045,48.077538,1264.5876,2019-09-17 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.17512746,46.762558,75.83636,1154.5194,34.966724,72.959564,109.83396,1273.9873,2019-09-17 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,8.311278,82.90241,27.86264,2135.7747,69.740425,122.090164,179.82214,1274.4568,2019-09-17 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.07603944,16.583612,86.04629,729.1524,12.736607,92.872986,140.20392,1269.694,2019-09-18 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.14386217,3.3633997,151.29852,405.94965,6.634105,61.271286,102.149796,1264.1282,2019-09-18 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.07311485,15.23756,102.67867,711.77124,13.361217,83.09433,127.532906,1270.1123,2019-09-18 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,4.670716,70.78636,6.2050257,2208.5137,28.983017,138.677,203.68822,1274.0605,2019-09-18 00:00:00,0.0,1.0
74.4,32,1.9211797,20.003511,102.4589,1013.7771,11.524571,68.87544,102.126816,1269.349,2019-09-18 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.27769715,2.7549179,157.35036,432.20462,5.781783,49.535763,82.76183,1263.7776,2019-09-18 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.18919337,2.405708,168.74055,419.6534,6.83965,63.043663,104.68222,1263.0298,2019-09-18 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.077014305,17.335289,92.9622,789.5696,13.260944,94.683655,141.79337,1270.3569,2019-09-18 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.42646846,5.7832565,109.913025,397.1578,8.368517,47.613087,74.08066,1261.2694,2019-09-19 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.11949055,23.25665,53.848076,739.41833,13.54839,79.855064,118.922905,1267.8221,2019-09-19 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.025764279,11.046499,98.32092,528.0175,8.118685,61.61451,92.941925,1265.5482,2019-09-19 00:00:00,0.0,1.0
74.4,32,0.35262248,9.0731,87.662895,440.06128,9.027803,41.37047,62.53325,1263.7427,2019-09-19 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.28716728,3.1707797,127.717674,345.37946,5.5383453,44.97023,72.44375,1259.4318,2019-09-19 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.11754082,16.010248,69.66418,553.9063,10.677832,74.49303,112.765656,1267.2942,2019-09-19 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.13188526,23.073393,51.416138,722.0065,13.628886,82.169846,122.89589,1269.1237,2019-09-19 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.33813876,2.8343692,129.07826,364.7149,6.468366,59.73834,90.04466,1259.3934,2019-09-20 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.14511557,19.340073,55.797607,664.0459,7.6404443,74.83534,110.81927,1268.5073,2019-09-20 00:00:00,0.0,1.0
74.4,32,1.1398953,11.48191,76.82257,563.2689,5.6801186,68.442604,101.29403,1266.5475,2019-09-20 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.2135998,2.324165,145.43246,343.64276,6.6313076,56.61875,84.43554,1256.4996,2019-09-20 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.2054179,4.3756227,111.660934,319.88104,4.9442472,60.64452,90.54264,1257.8408,2019-09-20 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.21460949,28.599894,53.471325,766.968,18.19153,83.35594,124.17575,1269.91,2019-09-20 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.45985758,51.884438,26.44491,1202.2433,44.287823,104.471924,156.05327,1272.1744,2019-09-20 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.40331542,43.405846,28.425102,1076.8827,34.7659,90.26223,133.72581,1271.3134,2019-09-20 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,1.2717805,62.328053,10.1470995,1486.692,52.839348,108.76607,159.23662,1273.5776,2019-09-21 00:00:00,0.0,1.0
74.4,32,1.5990565,14.728405,97.62876,689.0991,18.78202,56.72121,83.48713,1265.1377,2019-09-21 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.26384014,2.2106893,147.04865,357.62604,5.0130324,34.88529,52.619015,1260.5999,2019-09-21 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.18153372,1.8652768,149.23318,330.4771,4.354024,34.370804,53.38025,1259.9922,2019-09-21 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.15277521,3.8907318,132.31003,350.50766,4.461828,38.729107,59.300457,1260.9124,2019-09-21 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.22150317,38.68027,50.388893,1080.0393,22.839338,79.02637,115.343216,1272.8433,2019-09-21 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,1.2497765,60.87363,25.553009,1575.7631,34.19435,100.29589,145.69334,1272.4694,2019-09-21 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,8.1383095,65.448784,22.255653,1787.6187,44.075024,100.2181,145.3765,1271.6155,2019-09-21 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.38573304,3.714081,141.04352,386.464,5.282513,48.5265,73.58976,1257.3585,2019-09-22 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.20144881,31.833609,47.47663,904.2684,17.785988,73.067635,106.78166,1269.4475,2019-09-22 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,27.389519,78.09892,2.733115,2755.703,36.442123,166.19836,240.19188,1273.6777,2019-09-22 00:00:00,0.0,1.0
74.4,32,2.4778273,23.123257,92.0272,969.36127,14.2062845,75.67376,110.3622,1263.4646,2019-09-22 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.23128663,2.1953752,143.20784,311.56393,4.0445743,38.038696,58.65539,1255.7605,2019-09-22 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.18202116,4.387669,131.74733,337.23,6.0324745,35.02988,53.156303,1256.667,2019-09-22 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.12492194,20.94722,71.97107,653.58124,13.606882,54.084587,79.75312,1267.2627,2019-09-22 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.17923583,28.959951,48.117054,881.553,14.726027,81.275024,119.381645,1268.4165,2019-09-22 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.18619914,1.9844341,150.0215,315.64886,6.879202,49.69666,75.52334,1252.7655,2019-09-23 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.20527864,34.706284,41.637302,1034.8839,22.228027,88.71964,132.8228,1269.0876,2019-09-23 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.20674093,29.678791,41.183517,893.0651,20.290565,89.71707,132.60109,1268.8282,2019-09-23 00:00:00,0.0,1.0
74.4,32,1.4815158,13.256381,84.81964,656.6699,19.058882,80.242294,121.245865,1264.071,2019-09-23 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.26826185,2.7099288,145.90967,359.52383,10.1177025,52.945877,81.24746,1253.7316,2019-09-23 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.11809789,3.3122716,142.7861,355.7856,7.3761168,62.86749,95.27157,1254.7948,2019-09-23 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.098600596,19.188353,80.02336,665.9313,13.844192,75.64044,112.35232,1266.0396,2019-09-23 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.20165771,31.279816,47.929848,912.82556,19.124617,84.38533,125.53653,1269.8406,2019-09-23 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.15559536,2.3072264,151.00256,352.13028,5.26789,51.824226,76.45056,1254.9761,2019-09-24 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.17505783,26.187557,47.306606,924.22516,17.535599,86.793175,127.20925,1268.7368,2019-09-24 00:00:00,0.0,1.0
74.4,32,0.7406186,9.4552765,97.28957,563.769,9.095208,65.27478,95.536736,1261.0225,2019-09-24 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.21467912,2.1472185,140.46526,351.3931,5.3361306,52.98863,78.98242,1254.289,2019-09-24 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.13675958,4.4086113,131.23033,381.9803,5.007474,61.288,91.47698,1257.6571,2019-09-24 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.08439542,13.178247,84.7727,531.7106,7.765493,63.274426,94.444466,1265.2865,2019-09-24 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.22394033,30.506521,47.120255,905.2141,17.381557,80.938835,119.65809,1270.607,2019-09-24 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.12728947,21.883999,54.916805,780.79456,12.765156,73.76996,110.007065,1268.2035,2019-09-24 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.10027179,22.35291,59.13905,875.1102,12.843702,100.76675,149.64116,1268.8717,2019-09-25 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.15152182,3.531355,132.12094,362.85492,4.4821615,54.98724,80.495544,1258.632,2019-09-25 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.08996608,18.401243,64.703415,638.4684,8.41003,68.5114,99.991585,1266.3856,2019-09-25 00:00:00,0.0,1.0
74.4,32,0.33953142,6.9725714,97.229385,397.30457,5.0559263,55.12407,80.83466,1260.3865,2019-09-25 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.2184045,2.4583828,131.52682,314.70703,4.960947,54.638866,80.821014,1255.471,2019-09-25 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.18076776,1.8738757,143.28319,335.0314,3.7103348,53.87614,79.607735,1255.7677,2019-09-25 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.16739818,26.433344,64.634254,852.1256,16.60501,85.263405,123.55783,1270.8362,2019-09-25 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.23563871,32.294945,45.4977,1082.0427,17.564276,106.044525,155.12743,1271.5184,2019-09-25 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.21262494,2.366351,155.85254,399.7683,5.32666,70.54615,103.793045,1255.8322,2019-09-26 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.14511557,28.495201,55.16426,958.90137,16.156584,97.02466,143.91508,1268.238,2019-09-26 00:00:00,0.0,1.0
74.4,32,0.7381118,11.81753,98.11581,652.50214,8.86904,84.62257,125.46118,1262.9508,2019-09-26 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.31171298,3.5512648,142.9545,397.6271,6.61376,75.70639,111.838425,1255.0089,2019-09-26 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.16461286,5.4599853,138.88417,468.5456,8.090832,128.34789,188.46542,1259.7021,2019-09-26 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.12701094,24.897474,74.66732,862.7031,18.581476,144.20016,209.50871,1268.6042,2019-09-26 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.14400144,31.204248,60.947468,1017.95,23.196207,139.10107,201.90784,1268.0155,2019-09-26 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.10333565,22.787008,66.27986,839.755,12.209205,120.9743,175.48454,1265.5629,2019-09-26 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.2744244,3.351052,119.16741,333.93454,2.6661155,46.059013,67.49476,1256.5281,2019-09-27 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.006127721,20.545076,61.4982,784.9387,11.247722,122.59786,178.48212,1265.9698,2019-09-27 00:00:00,0.0,1.0
74.4,32,0.0803567,4.5931926,105.78437,388.37158,1.9023787,69.2296,101.30348,1259.628,2019-09-27 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.32574406,3.558368,129.1789,372.26392,2.5455108,35.59099,52.841152,1257.0522,2019-09-27 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.15180035,4.0135994,124.92877,374.55304,3.0410328,59.191135,86.82729,1259.0703,2019-09-27 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.14219096,34.80039,68.89983,980.33966,25.054579,105.591,152.56645,1273.8383,2019-09-27 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.21279903,50.258038,33.770702,1419.0734,29.571266,129.24728,186.34177,1272.1498,2019-09-27 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.0646196,23.147453,56.46764,951.28546,11.020984,100.375755,145.24258,1268.2526,2019-09-27 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.2920764,4.43407,168.56104,537.9003,8.61279,68.73479,100.71243,1260.3646,2019-09-28 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,1.22e-16,16.304712,69.518295,628.938,7.022925,67.281395,98.21845,1265.4447,2019-09-28 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.19371954,31.627388,45.814125,1163.2063,18.41604,104.96047,152.03877,1269.6146,2019-09-28 00:00:00,0.0,1.0
74.4,32,1.2787439,19.325119,76.4821,811.2321,14.13303,79.63586,115.78997,1264.9122,2019-09-28 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.80219173,10.495435,120.3042,609.3352,11.858671,73.39004,107.818085,1261.3901,2019-09-28 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.19894202,5.747118,127.780914,470.49307,4.615857,58.51945,85.46931,1261.888,2019-09-28 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.12575753,19.160381,71.0261,709.63245,11.654367,69.26323,100.51983,1268.941,2019-09-28 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.08230643,24.461945,57.86758,803.18616,15.762726,78.86077,114.657455,1268.4474,2019-09-28 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.5986365,6.028712,77.760124,323.34286,4.4137692,38.19346,56.093716,1255.9103,2019-09-29 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.07979964,12.617441,71.64473,514.24835,5.8472505,50.2455,72.78061,1262.4371,2019-09-29 00:00:00,0.0,1.0
74.4,32,0.37741187,11.268626,72.33104,416.12854,5.011361,33.74466,49.293335,1259.7252,2019-09-29 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.32316762,2.4290774,110.61182,300.94098,3.427067,40.353413,59.116642,1253.9684,2019-09-29 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.18292639,5.2169657,98.39919,325.70828,4.2930374,53.35114,77.74378,1255.9294,2019-09-29 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.23591724,23.468739,46.27815,684.17535,13.490177,67.80149,98.37721,1267.8912,2019-09-29 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,1.8306565,56.61636,7.906744,1398.9042,35.622112,105.2904,153.2398,1273.4636,2019-09-29 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,5.087401,57.47619,2.5528572,1699.475,29.620287,122.63637,178.93279,1272.3615,2019-09-29 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.21713369,2.240204,122.14971,311.78787,3.1408746,37.073517,55.05507,1252.1527,2019-09-30 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.18661694,5.142632,99.14747,314.0184,3.9626977,36.058918,54.20707,1256.1415,2019-09-30 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.23229632,25.882278,49.64434,730.3809,14.6009655,55.489853,82.732864,1269.0225,2019-09-30 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.346634,38.435097,25.008076,1150.1898,20.000336,93.29079,137.38907,1268.9519,2019-09-30 00:00:00,0.0,1.0
74.4,32,1.4902894,12.02976,84.68152,664.2437,8.285932,70.93456,105.67588,1262.4838,2019-09-30 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.26982862,2.3921046,108.57194,308.75027,3.0471482,34.360706,51.148365,1251.4999,2019-09-30 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.43604302,41.4646,28.9305,1136.8335,22.070936,68.7219,100.15483,1269.5918,2019-09-30 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.44600058,44.91639,27.23704,1152.6859,27.735178,73.7905,109.09515,1270.4039,2019-09-30 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,45.40599,82.13775,0.21868303,3034.2854,93.170876,157.04773,225.98143,1280.7262,2019-10-01 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.2228262,4.808358,106.39831,331.1292,4.369634,13.936038,20.79804,1262.2206,2019-10-01 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.30750015,42.053493,41.24262,1066.5593,27.12157,56.6317,81.72318,1279.4121,2019-10-01 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.61444324,48.515404,19.340351,1397.1982,26.149502,88.30776,128.17297,1271.1144,2019-10-01 00:00:00,0.0,1.0
74.4,32,1.5500348,15.911961,78.61652,784.1759,9.906574,59.146152,88.39794,1267.009,2019-10-01 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.26981118,2.689311,127.48951,354.681,4.31677,41.95804,62.602474,1258.6571,2019-10-01 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.227422,2.2914755,138.5114,347.78537,4.144985,45.66587,68.38177,1258.967,2019-10-01 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,24.595207,84.99502,0.29252848,2439.5042,82.31785,122.10608,175.7358,1281.5771,2019-10-01 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.3560345,4.4364944,149.27036,370.5986,10.128565,38.225662,59.367867,1258.7695,2019-10-02 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,32.11636,75.41533,1.22e-05,2745.1252,72.620186,184.49069,264.7894,1281.2072,2019-10-02 00:00:00,0.0,1.0
74.4,32,2.8701408,28.780142,79.71314,1127.0383,18.878672,73.305786,106.820656,1269.1066,2019-10-02 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.35112536,3.682787,140.53526,389.84537,5.8786426,33.529217,50.61052,1259.6647,2019-10-02 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.23487274,8.0371275,126.23262,400.09665,13.794904,51.02783,77.68557,1264.4408,2019-10-02 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.14776163,31.100368,60.84966,884.40704,25.002214,91.26279,136.49443,1278.7155,2019-10-02 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.4565152,50.917366,27.26752,1172.219,61.29893,128.51814,191.09023,1279.8928,2019-10-02 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,2.5276847,51.410217,26.617111,1033.6864,73.87023,127.39077,190.5747,1278.6185,2019-10-02 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.10723511,5.4375114,154.41658,521.81775,11.41512,85.66588,134.6809,1267.9526,2019-10-03 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.13272086,21.46893,81.29643,771.1868,20.816145,96.646866,145.7463,1276.0511,2019-10-03 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,10.63438,66.31135,8.489255,1781.2303,80.79902,149.09656,223.50945,1280.3506,2019-10-03 00:00:00,0.0,1.0
74.4,32,5.8730025,43.706768,70.62696,1609.4396,44.315815,144.12535,215.64284,1275.6501,2019-10-03 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.38472337,4.8622727,176.4409,575.2295,11.13741,94.43054,148.77855,1265.213,2019-10-03 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.20134437,3.4458048,186.41415,478.95163,9.631941,85.76525,139.604,1263.3638,2019-10-03 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.10250005,25.229942,63.661064,766.3092,31.965532,96.42327,145.91983,1275.2301,2019-10-03 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.16906938,22.89982,54.871056,739.37933,27.363337,94.00693,141.47014,1276.5558,2019-10-03 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.22164243,2.1362388,136.85974,349.1959,5.581239,58.404423,98.90545,1264.6069,2019-10-04 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.3644601,32.789116,33.806854,1014.20685,27.665417,117.73753,177.44138,1280.0544,2019-10-04 00:00:00,0.0,1.0
74.4,32,1.6300433,17.1396,57.375687,736.5928,23.942118,106.00225,160.47038,1277.9546,2019-10-04 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.3944372,3.6112401,135.68329,455.6307,9.832484,84.390205,134.00838,1269.4502,2019-10-04 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.20242368,5.454432,125.13336,411.26767,6.2268906,28.892168,45.5181,1268.0625,2019-10-04 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.44788066,60.51659,47.88492,1354.4694,68.094574,88.20137,130.26643,1280.8212,2019-10-04 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,1.1107886,56.18258,36.32847,1218.279,68.7274,87.50134,129.06331,1278.5823,2019-10-04 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.30123317,41.140087,40.01551,1004.7041,43.914867,79.806946,117.9628,1277.6821,2019-10-04 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.22634268,2.0972939,134.15108,292.56232,5.891107,36.951416,70.09487,1264.1608,2019-10-05 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,2.0778544,64.42439,12.876999,1635.4724,70.598595,110.33782,162.56146,1279.2764,2019-10-05 00:00:00,0.0,1.0
74.4,32,3.187111,26.270805,86.54049,1049.5508,38.234608,77.713394,116.329216,1274.0697,2019-10-05 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.29475728,2.4336894,136.67432,346.77304,7.151607,36.903645,63.74585,1265.0146,2019-10-05 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.3306532,7.911178,108.55888,388.9788,11.134081,31.963583,54.1249,1269.4132,2019-10-05 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.2400256,37.414276,49.690685,918.68604,40.68194,57.61906,88.530594,1277.7821,2019-10-05 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.52489495,47.31533,41.446682,1001.4691,58.420017,59.261047,90.23194,1277.2778,2019-10-05 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.3010939,40.723362,38.50743,953.7732,46.16625,59.743813,91.094,1277.8661,2019-10-05 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.27895054,4.6736016,162.04149,440.38083,15.899485,50.809395,80.16449,1269.5093,2019-10-06 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.8209753,48.196762,17.469238,1144.7043,49.285545,77.25078,119.6209,1279.8246,2019-10-06 00:00:00,0.0,1.0
74.4,32,4.451371,30.593002,51.425343,1031.189,41.034977,76.842514,119.47608,1278.3232,2019-10-06 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.75325704,8.046784,146.75235,535.5826,20.17928,52.869507,81.02131,1271.5383,2019-10-06 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.18097666,13.310361,117.40602,568.1632,19.46583,64.75601,98.68847,1273.9026,2019-10-06 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.09101058,21.081743,75.50647,659.54047,27.725847,65.058426,101.09723,1276.2474,2019-10-06 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.0782677,14.589207,70.14774,481.82306,16.989662,51.151775,89.18786,1275.273,2019-10-06 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.17366517,20.291048,56.795475,694.9581,19.20539,61.885323,100.909935,1277.2589,2019-10-06 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.19434623,7.044349,129.6693,330.76715,10.062983,39.030586,68.51056,1267.0626,2019-10-07 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.12721984,25.04941,68.31597,624.03876,28.623697,53.144676,85.97568,1274.6997,2019-10-07 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.12339001,15.943541,60.86304,563.672,12.863769,53.532288,85.79784,1272.5907,2019-10-07 00:00:00,0.0,1.0
74.4,32,1.9170017,13.125315,72.66661,543.87964,16.125097,51.434555,84.10658,1271.6874,2019-10-07 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.4009131,3.1631157,132.85579,326.2009,7.7583904,46.287548,85.44327,1265.1781,2019-10-07 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.19859385,1.9706211,138.3508,278.44553,5.9911003,44.833683,88.82148,1264.4373,2019-10-07 09:00:00,0.7071067811865476,-0.7071067811865475
