Day,Jan_Old,Feb_Old,Mar_Old,Apr_Old,May_Old,Jun_Old,Jul_Old,Aug_Old,Sep_Old,Oct_Old,Nov_Old,Dec_Old,Jan_New,Feb_New,Mar_New,Apr_New,May_New,Jun_New,Jul_New,Aug_New,Sep_New,Oct_New,Nov_New,Dec_New,Avg_Jan,Avg_Feb,Avg_Mar,Avg_Apr,Avg_May,Avg_Jun,Avg_Jul,Avg_Aug,Avg_Sep,Avg_Oct,Avg_Nov,Avg_Dec
17,19.0,29.4,31.8,39.0,39.0,36.7,32.2,37.2,35.5,22.5,27.4,19.0,3.7,13.2,16.0,23.0,26.5,26.3,27.7,29.5,26.4,16.2,13.0,8.0,11.35,21.3,23.9,31.0,32.75,31.5,29.950000000000003,33.35,30.95,19.35,20.2,13.5
18,19.0,27.4,21.3,39.0,40.0,38.2,35.8,37.1,33.5,24.5,27.8,20.5,5.0,13.5,15.2,24.6,22.0,28.6,28.5,29.5,24.5,15.6,13.2,8.0,12.0,20.45,18.25,31.8,31.0,33.400000000000006,32.15,33.3,29.0,20.05,20.5,14.25
19,18.5,28.5,24.0,35.0,34.2,39.2,36.2,37.5,30.5,26.5,27.0,22.0,7.5,14.0,16.0,21.8,23.5,24.2,28.4,29.7,23.2,16.8,12.8,8.0,13.0,21.25,20.0,28.4,28.85,31.700000000000003,32.3,33.6,26.85,21.65,19.9,15.0
20,20.5,28.0,25.5,31.8,37.5,38.6,34.0,35.5,27.2,28.5,27.5,21.8,8.5,15.5,16.5,19.2,25.4,29.2,26.2,27.2,22.4,16.8,12.7,7.8,14.5,21.75,21.0,25.5,31.45,33.9,30.1,31.35,24.8,22.65,20.1,14.8
21,15.2,27.5,25.0,32.2,40.6,40.1,36.6,36.5,34.5,29.0,26.0,23.0,7.5,14.2,14.6,18.0,26.4,31.0,29.0,29.6,26.0,17.0,12.5,7.5,11.35,20.85,19.8,25.1,33.5,35.55,32.8,33.05,30.25,23.0,19.25,15.25
22,19.0,28.0,25.3,32.2,43.2,39.5,32.6,38.0,35.0,29.8,26.6,21.5,8.2,14.0,16.0,18.8,27.4,32.6,26.5,30.4,27.0,18.6,12.8,7.5,13.6,21.0,20.65,25.5,35.3,36.05,29.55,34.2,31.0,24.200000000000003,19.700000000000003,14.5
23,19.5,27.5,26.5,31.0,42.6,41.2,29.0,38.5,34.0,29.8,26.0,19.5,10.5,13.5,16.2,18.5,31.6,33.4,24.5,30.4,21.8,18.6,11.3,9.3,15.0,20.5,21.35,24.75,37.1,37.3,26.75,34.45,27.9,24.200000000000003,18.65,14.4
24,19.5,28.6,27.5,33.5,41.7,41.5,36.0,36.6,30.3,29.5,24.0,23.0,9.0,13.6,19.0,19.0,25.0,32.6,28.2,27.4,22.0,18.5,11.5,9.3,14.25,21.1,23.25,26.25,33.35,37.05,32.1,32.0,26.15,24.0,17.75,16.15
25,18.2,29.5,23.5,35.4,36.2,41.6,35.0,35.8,31.5,30.0,24.5,20.5,10.4,14.3,13.5,20.5,22.5,31.4,26.2,28.3,22.8,17.5,11.3,9.0,14.3,21.9,18.5,27.95,29.35,36.5,30.6,32.05,27.15,23.75,17.9,14.75
26,17.0,29.0,23.8,35.3,30.3,40.0,34.2,35.0,32.0,30.7,24.2,22.0,5.6,15.5,13.8,21.5,21.8,20.4,26.0,24.2,23.3,17.2,11.2,8.7,11.3,22.25,18.8,28.4,26.05,30.2,30.1,29.6,27.65,23.95,17.7,15.35
27,18.6,28.8,25.5,36.3,32.6,30.8,33.8,34.5,33.0,32.0,23.5,21.5,5.8,14.8,15.5,22.7,22.3,22.8,25.3,27.0,22.8,17.8,11.8,9.4,12.2,21.8,20.5,29.5,27.450000000000003,26.8,29.55,30.75,27.9,24.9,17.65,15.45
28,20.5,29.5,28.0,33.5,33.6,35.2,33.0,35.0,34.0,30.8,0.0,19.8,6.0,15.4,16.6,21.0,24.0,26.8,26.0,26.2,23.8,17.5,14.0,9.2,13.25,22.45,22.3,27.25,28.8,31.0,29.5,30.6,28.9,24.15,7.0,14.5
29,21.6,0.0,29.6,35.5,37.5,35.8,34.8,34.5,35.0,30.0,25.0,19.5,7.8,0.0,17.2,22.0,23.8,28.2,25.8,25.0,24.4,19.0,12.5,9.4,14.7,0.0,23.4,28.75,30.65,32.0,30.3,29.75,29.7,24.5,18.75,14.45
30,18.5,0.0,30.0,36.0,33.1,35.0,29.0,35.1,34.5,30.0,26.0,14.6,8.0,0.0,19.2,22.0,22.0,29.4,23.5,25.8,22.6,19.5,13.5,9.0,13.25,0.0,24.6,29.0,27.55,32.2,26.25,30.450000000000003,28.55,24.75,19.75,11.8
31,18.5,0.0,29.8,0.0,33.8,0.0,34.0,35.9,0.0,29.0,0.0,15.0,9.0,0.0,17.3,0.0,20.2,0.0,27.7,28.7,0.0,19.6,0.0,8.8,13.75,0.0,23.55,0.0,27.0,0.0,30.85,32.3,0.0,24.3,0.0,11.9
